2022-10-30 00:01:23,708 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,680 KB | PagedMem: 13,121,644 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1816 
2022-10-30 00:03:23,719 [7] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 4,426,704 KB | PagedMem: 13,121,708 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1801 
2022-10-30 00:05:23,716 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,656 KB | PagedMem: 13,121,608 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1801 
2022-10-30 00:07:23,725 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,656 KB | PagedMem: 13,121,608 KB | NonPagedMem: 476 KB | ThrdCnt: 73 | HndlCnt: 1807 
2022-10-30 00:09:23,736 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,796 KB | PagedMem: 13,121,800 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1806 
2022-10-30 00:11:23,743 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,656 KB | PagedMem: 13,121,608 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1802 
2022-10-30 00:13:23,749 [7] INFO  - MONITOR  ResourceStatus: | CPU: 8% | WrkSetMem: 4,426,700 KB | PagedMem: 13,121,672 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1806 
2022-10-30 00:15:23,751 [7] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 4,426,788 KB | PagedMem: 13,121,736 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1815 
2022-10-30 00:17:23,756 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,664 KB | PagedMem: 13,121,608 KB | NonPagedMem: 476 KB | ThrdCnt: 73 | HndlCnt: 1802 
2022-10-30 00:19:23,758 [7] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 4,426,708 KB | PagedMem: 13,121,672 KB | NonPagedMem: 476 KB | ThrdCnt: 73 | HndlCnt: 1809 
2022-10-30 00:21:23,756 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,664 KB | PagedMem: 13,121,608 KB | NonPagedMem: 475 KB | ThrdCnt: 73 | HndlCnt: 1806 
2022-10-30 00:23:23,769 [7] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 4,426,728 KB | PagedMem: 13,121,800 KB | NonPagedMem: 476 KB | ThrdCnt: 77 | HndlCnt: 1830 
2022-10-30 00:25:23,782 [7] INFO  - MONITOR  ResourceStatus: | CPU: 16% | WrkSetMem: 4,426,844 KB | PagedMem: 13,121,928 KB | NonPagedMem: 476 KB | ThrdCnt: 77 | HndlCnt: 1827 
2022-10-30 00:27:23,785 [7] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 4,426,728 KB | PagedMem: 13,121,800 KB | NonPagedMem: 476 KB | ThrdCnt: 77 | HndlCnt: 1821 
