2022-10-30 00:01:42,780 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,532 KB | PagedMem: 92,796 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1144 
2022-10-30 00:03:42,790 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,548 KB | PagedMem: 92,796 KB | NonPagedMem: 79 KB | ThrdCnt: 50 | HndlCnt: 1110 
2022-10-30 00:05:42,797 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,568 KB | PagedMem: 92,836 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1131 
2022-10-30 00:07:42,798 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,584 KB | PagedMem: 92,860 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1109 
2022-10-30 00:09:42,810 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,580 KB | PagedMem: 92,860 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1129 
2022-10-30 00:11:42,810 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,088 KB | PagedMem: 92,340 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1064 
2022-10-30 00:13:42,816 [30] INFO  - MONITOR  ResourceStatus: | CPU: 8% | WrkSetMem: 73,092 KB | PagedMem: 92,344 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1071 
2022-10-30 00:15:42,816 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,216 KB | PagedMem: 92,520 KB | NonPagedMem: 80 KB | ThrdCnt: 52 | HndlCnt: 1098 
2022-10-30 00:17:42,824 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,180 KB | PagedMem: 92,460 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1125 
2022-10-30 00:19:42,832 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,224 KB | PagedMem: 92,524 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1135 
2022-10-30 00:21:42,835 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,372 KB | PagedMem: 92,660 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1130 
2022-10-30 00:23:42,845 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,420 KB | PagedMem: 92,724 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1106 
2022-10-30 00:25:42,857 [30] INFO  - MONITOR  ResourceStatus: | CPU: 16% | WrkSetMem: 73,508 KB | PagedMem: 92,796 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1138 
2022-10-30 00:27:42,862 [30] INFO  - MONITOR  ResourceStatus: | CPU: 8% | WrkSetMem: 73,516 KB | PagedMem: 92,788 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1117 
2022-10-30 00:29:42,864 [30] INFO  - MONITOR  ResourceStatus: | CPU: 16% | WrkSetMem: 73,584 KB | PagedMem: 92,852 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1137 
2022-10-30 00:31:42,871 [30] INFO  - MONITOR  ResourceStatus: | CPU: 21% | WrkSetMem: 73,624 KB | PagedMem: 92,876 KB | NonPagedMem: 79 KB | ThrdCnt: 50 | HndlCnt: 1120 
2022-10-30 00:33:42,879 [30] INFO  - MONITOR  ResourceStatus: | CPU: 20% | WrkSetMem: 73,672 KB | PagedMem: 92,964 KB | NonPagedMem: 79 KB | ThrdCnt: 52 | HndlCnt: 1101 
2022-10-30 00:35:42,885 [30] INFO  - MONITOR  ResourceStatus: | CPU: 20% | WrkSetMem: 73,676 KB | PagedMem: 92,964 KB | NonPagedMem: 79 KB | ThrdCnt: 52 | HndlCnt: 1131 
2022-10-30 00:37:42,896 [30] INFO  - MONITOR  ResourceStatus: | CPU: 21% | WrkSetMem: 73,656 KB | PagedMem: 92,916 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1155 
2022-10-30 00:39:42,897 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,104 KB | PagedMem: 92,340 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1073 
2022-10-30 00:41:42,906 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,104 KB | PagedMem: 92,340 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1093 
2022-10-30 00:43:42,918 [30] INFO  - MONITOR  ResourceStatus: | CPU: 18% | WrkSetMem: 73,112 KB | PagedMem: 92,404 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1098 
2022-10-30 00:45:42,929 [30] INFO  - MONITOR  ResourceStatus: | CPU: 14% | WrkSetMem: 73,180 KB | PagedMem: 92,468 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1105 
2022-10-30 00:47:42,938 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,264 KB | PagedMem: 92,656 KB | NonPagedMem: 80 KB | ThrdCnt: 55 | HndlCnt: 1120 
2022-10-30 00:49:42,957 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,332 KB | PagedMem: 92,720 KB | NonPagedMem: 80 KB | ThrdCnt: 55 | HndlCnt: 1150 
2022-10-30 00:51:42,970 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,464 KB | PagedMem: 92,848 KB | NonPagedMem: 79 KB | ThrdCnt: 55 | HndlCnt: 1143 
2022-10-30 00:53:42,980 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,512 KB | PagedMem: 92,912 KB | NonPagedMem: 79 KB | ThrdCnt: 55 | HndlCnt: 1143 
2022-10-30 00:55:42,994 [30] INFO  - MONITOR  ResourceStatus: | CPU: 38% | WrkSetMem: 73,428 KB | PagedMem: 92,720 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1148 
2022-10-30 00:57:43,002 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,536 KB | PagedMem: 92,756 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1153 
2022-10-30 00:59:43,011 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,560 KB | PagedMem: 92,860 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1119 
2022-10-30 01:01:43,022 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,572 KB | PagedMem: 92,908 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1159 
2022-10-30 01:03:43,032 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,556 KB | PagedMem: 92,808 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1118 
2022-10-30 01:05:43,042 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,060 KB | PagedMem: 92,296 KB | NonPagedMem: 79 KB | ThrdCnt: 50 | HndlCnt: 1069 
2022-10-30 01:07:43,053 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,084 KB | PagedMem: 92,336 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1063 
2022-10-30 01:09:43,063 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,084 KB | PagedMem: 92,336 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1083 
2022-10-30 01:11:43,075 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,108 KB | PagedMem: 92,400 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1098 
2022-10-30 01:13:43,083 [30] INFO  - MONITOR  ResourceStatus: | CPU: 45% | WrkSetMem: 73,256 KB | PagedMem: 92,536 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1110 
2022-10-30 01:15:43,092 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,244 KB | PagedMem: 92,528 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1145 
2022-10-30 01:17:43,103 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,144 KB | PagedMem: 92,392 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1076 
2022-10-30 01:19:43,122 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,172 KB | PagedMem: 92,432 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1122 
2022-10-30 01:21:43,124 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,276 KB | PagedMem: 92,572 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1132 
2022-10-30 01:23:43,137 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,380 KB | PagedMem: 92,660 KB | NonPagedMem: 79 KB | ThrdCnt: 50 | HndlCnt: 1088 
2022-10-30 01:25:43,147 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,400 KB | PagedMem: 92,700 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1114 
2022-10-30 01:27:43,162 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,460 KB | PagedMem: 92,764 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1088 
2022-10-30 01:29:43,173 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,448 KB | PagedMem: 92,764 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1128 
2022-10-30 01:31:43,183 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,460 KB | PagedMem: 92,760 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1078 
2022-10-30 01:33:43,194 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,468 KB | PagedMem: 92,808 KB | NonPagedMem: 79 KB | ThrdCnt: 52 | HndlCnt: 1113 
2022-10-30 01:35:43,206 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,456 KB | PagedMem: 92,760 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1145 
2022-10-30 01:37:43,216 [30] INFO  - MONITOR  ResourceStatus: | CPU: 41% | WrkSetMem: 73,496 KB | PagedMem: 92,828 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1099 
2022-10-30 01:39:43,227 [30] INFO  - MONITOR  ResourceStatus: | CPU: 39% | WrkSetMem: 73,544 KB | PagedMem: 92,888 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1100 
2022-10-30 01:41:43,238 [30] INFO  - MONITOR  ResourceStatus: | CPU: 40% | WrkSetMem: 73,556 KB | PagedMem: 92,892 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1129 
2022-10-30 01:43:43,252 [30] INFO  - MONITOR  ResourceStatus: | CPU: 53% | WrkSetMem: 73,076 KB | PagedMem: 92,344 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1074 
2022-10-30 01:45:43,265 [30] INFO  - MONITOR  ResourceStatus: | CPU: 33% | WrkSetMem: 73,076 KB | PagedMem: 92,344 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1094 
2022-10-30 01:47:43,269 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,088 KB | PagedMem: 92,344 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1089 
2022-10-30 01:49:43,281 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,168 KB | PagedMem: 92,484 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1096 
2022-10-30 01:51:43,284 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,312 KB | PagedMem: 92,656 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1114 
2022-10-30 01:53:43,293 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,296 KB | PagedMem: 92,608 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1139 
2022-10-30 01:55:43,310 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,328 KB | PagedMem: 92,604 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1141 
2022-10-30 01:57:43,314 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,356 KB | PagedMem: 92,640 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1144 
2022-10-30 01:59:43,331 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,440 KB | PagedMem: 92,724 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1110 
2022-10-30 01:01:43,341 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,424 KB | PagedMem: 92,684 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1139 
2022-10-30 01:03:43,354 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,444 KB | PagedMem: 92,724 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1100 
